,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,92.509663500817,123.77217371323529,115.99488102532679,33.99588187164926,30.674939895710384,37.516841082767016,141.24582553327457,0.9266675689915228,0.2068992131601345,11.68028206552733
0,82.47544142376681,88.82020739910314,98.83242537836323,37.66114306795041,34.0357754032435,46.19233721290459,223.67924099002735,0.9121554965637833,0.14200450530820993,12.679626652941318
0,114.30612264294403,126.90642107664233,98.87677729622871,29.471801903415543,23.918051126466516,37.849226400447805,54.678367074926115,0.9578587028425768,0.3423696353901877,10.758493489630041
0,125.30116928807946,134.1517616928808,124.03617808360927,51.00806796371573,44.354187589174636,59.28367146197453,1158.1884281795367,0.7311480043831136,0.06164484783569747,14.094452696883595
0,111.72033936246419,115.25836094197707,111.06383193051576,55.7944154329936,47.888427859086384,64.47355769543485,506.0243588248112,0.903426956790894,0.13041755047893644,13.27262405043701
0,106.40922436683006,108.72195414624183,130.9816176470588,24.4635824648561,18.14303140274935,38.71607556119734,108.73512570958417,0.8755948461959683,0.1960779079922873,11.287764895167488
0,93.09780319357367,107.9127522531348,100.01747403996865,43.90277231565292,39.76193073005393,52.66211070964957,254.0711016216322,0.9253553059537348,0.1281336864063955,12.951365446950351
0,104.42906157270029,111.85127271884274,109.9316927856083,56.930254473813676,50.56410374229789,64.3468192676997,704.1169730042097,0.8745792054430597,0.12924797217622333,13.605420381695392
0,129.4046905281008,138.0952489098837,121.77290758236434,49.04238651480721,42.70468831151601,58.29519147383314,499.104007701425,0.8778110257971482,0.11165741564048778,12.977688862603845
0,109.45710589171975,108.06037685774947,111.98697087314225,36.088444787734836,27.60686334469588,52.47770942497256,43.90304511028194,0.9768203482188544,0.35322336050273667,10.693877936424165
0,100.74865679824562,115.64451754385965,124.91117050438596,35.53320330509547,30.743040550848182,52.06072245549665,90.0006627138873,0.9598364753098287,0.23885149036691744,11.431989508106868
0,96.75322895665323,114.15972309727823,99.59828629032258,47.27256419637453,42.762870196892166,57.40127746574363,626.5945933698047,0.8420389935763508,0.12868950059463682,13.410290155793655
0,107.10862449363425,110.3568702980324,115.63669162326389,26.179082598942927,20.273845967025217,39.608322890449564,32.71536727465703,0.9646669501228159,0.41594494563717477,9.924317851090834
0,104.82273481145252,113.30886653282123,105.18636522346368,57.77328072448584,50.733442194418195,66.67996517532693,1124.6168293716783,0.804476245698303,0.08239538005176669,14.140149109848762
